=== SNAPSHOT ===
url: https://www.amazon.com/s?k=hard+shell+carry+on+luggage&rh=p_72%3A2661618011%2Cp_n_g-1003235561111%3A23883570011&dc&crid=3Q1WEWKDDFY8D&qid=1787647374&rnid=23883561011&sprefix=hard+shell+carry+on+luggage%2Caps%2C256&ref=sr_nr_p_n_g-1003235561111_1&ds=v1%3AQG3gyAQtE66vxrBVY3q84tnuosMJOk2Ok5WqtTtKbXY
title: Amazon.com: Hard Shell Carry On Luggage - 4 Stars & Up / Hard
snapshot_id: a5abe379-bc74-4861-b0cb-c1f1863f9743
document_revision: 13374
nodes_returned: 5488
actions_returned: 0
stats: rawNodes=13374 returnedNodes=5488 textChars=313207 groups=169 droppedHidden=5880 droppedOffscreen=0 droppedDuplicate=0 truncated=True
roots: n1

=== ACTION INDEX ===
[4] ref=e4 <nav> role=navigation actions=click visible=true viewport=false hit=false occluded=false "Shortcuts menu"
[9] ref=e9 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "main content"
[12] ref=e12 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Results"
[15] ref=e15 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Filters"
[21] ref=e21 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Search, alt, forward slash"
[30] ref=e30 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Cart, shift, alt, c"
[42] ref=e42 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Home, shift, alt, h"
[54] ref=e54 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Your orders, shift, alt, o"
[66] ref=e66 <button> role=button actions=click visible=true viewport=false hit=false occluded=false "Show/hide shortcuts, shift, alt, z"
[88] ref=e88 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Amazon"
[91] ref=e91 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Deliver to Germany"
[109] ref=e109 <input> role=searchbox actions=click,type,focus visible=true viewport=true hit=true occluded=false "Search Amazon"
[113] ref=e113 <input> role=button actions=click,type,focus visible=true viewport=true hit=true occluded=false "Go"
[117] ref=e117 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Choose a language for shopping in Amazon United States. The current selection is English (EN)."
[123] ref=e123 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand to Change Language or Country"
[125] ref=e125 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Hello, sign in Account & Lists"
[131] ref=e131 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand Account and Lists"
[132] ref=e132 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Returns & Orders"
[137] ref=e137 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "0 items in cart"
[143] ref=g143 <div> role=generic actions=scroll visible=true viewport=true hit=true occluded=false
[157] ref=e157 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Open All Categories Menu"
[165] ref=e165 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Today's Deals"
[169] ref=e169 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Customer Service"
[173] ref=e173 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Prime Video"
[177] ref=e177 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Gift Cards"
[181] ref=e181 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Sell"
[185] ref=e185 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Registry"
[187] ref=e187 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Click to call our Disability Customer Support line, or reach us directly at 1-888-283-1678"
[251] ref=e251 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Amazon Basics 21" Hardside Carry-On Luggage with Spinner Wheels, Expandable for Up to 25% More Space, Scratch-Resistant Hard Shell, Telescoping Handle, Black"
[258] ref=e258 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "4.4 out of 5 stars, rating details"
[261] ref=e261 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "59,522 ratings"
[268] ref=e268 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "EUR 47.90 Typical: EUR 52.47"
[301] ref=e301 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Add to cart"
[314] ref=e314 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Samsonite Freeform Hardside Carry-On Luggage with Spinner Wheels - Hardshell Suitcase - TSA, Airline-Approved - Expandable Hard Shell, Smooth Rolling Wheels for Lightweight Travel – Black"
[321] ref=e321 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "4.3 out of 5 stars, rating details"
[324] ref=e324 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "19,083 ratings"
[331] ref=e331 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "EUR 119.97 List: EUR 188.54"
[368] ref=e368 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Add to cart"
[384] ref=e384 <a> role=button actions=click visible=true viewport=true hit=false occluded=false "View Sponsored information or leave ad feedback"
[408] ref=e408 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "+6 other colors/patterns"
[412] ref=e412 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - 20IN Top-Opening Expandable Carry On Luggage-Banana Yellow | Hard-shell 100% Polycarbonate, cup holder, USB-C charge port, TSA lock, lightweight, airline-approved,Smooth spinner wheels"
[419] ref=e419 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.4 out of 5 stars, rating details"
[422] ref=e422 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "63 ratings"
[425] ref=e425 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Limited time deal"
[433] ref=e433 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "EUR 94.26 Typical: EUR 111.40"
[469] ref=e469 <button> role=button actions=click visible=true viewport=false hit=false occluded=false "Add to cart"
[485] ref=e485 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "+11 other colors/patterns"
[489] ref=e489 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - LARVENDER Carry On Luggage 22x14x9 Airline Approved, Suitcases with Wheels | Front Pocket 20Inch Expandable PC+ABS Carry-On Luggage | Front Open Luggage with Spinner Wheels for Women | TSA | Mocha"
[496] ref=e496 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.3 out of 5 stars, rating details"
[499] ref=e499 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "113 ratings"
[502] ref=e502 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Limited time deal"
[510] ref=e510 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "EUR 72.82 List: EUR 85.69"
[564] ref=e564 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "+5 other colors/patterns"
[568] ref=e568 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - Kenneth Cole REACTION Diamond Tower Collection Lightweight Hardside Expandable 8-Wheel Spinner Travel Luggage, Lavender, 20-Inch Checked"
[575] ref=e575 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.4 out of 5 stars, rating details"
[578] ref=e578 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "509 ratings"
[581] ref=e581 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Limited time deal"
