=== SNAPSHOT ===
url: https://www.amazon.com/s?k=wireless+mouse&rh=p_72%3A1248879011&dc&crid=U704X4TV16L5&qid=1786539760&rnid=1248877011&sprefix=wireless+mouse%2Caps%2C238&ref=sr_nr_p_72_1&ds=v1%3ArvoHDE9ucpQZflRs%2BOT13gx8J33umRjLSjehV1ddOWY
title: Amazon.com: Wireless Mouse - 4 Stars & Up
snapshot_id: c85657de-08f5-4787-80e0-9a1b1991adef
document_revision: 12592
nodes_returned: 3929
actions_returned: 0
stats: rawNodes=12592 returnedNodes=3929 textChars=262898 groups=127 droppedHidden=6859 droppedOffscreen=0 droppedDuplicate=0 truncated=True
roots: n1

=== ACTION INDEX ===
[4] ref=e4 <nav> role=navigation actions=click visible=true viewport=false hit=false occluded=false "Shortcuts menu"
[9] ref=e9 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "main content"
[12] ref=e12 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Results"
[15] ref=e15 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Filters"
[21] ref=e21 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Search, alt, forward slash"
[30] ref=e30 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Cart, shift, alt, c"
[42] ref=e42 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Home, shift, alt, h"
[54] ref=e54 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Your orders, shift, alt, o"
[66] ref=e66 <button> role=button actions=click visible=true viewport=false hit=false occluded=false "Show/hide shortcuts, shift, alt, z"
[88] ref=e88 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Amazon"
[91] ref=e91 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Deliver to Germany"
[109] ref=e109 <input> role=searchbox actions=click,type,focus visible=true viewport=true hit=true occluded=false "Search Amazon"
[113] ref=e113 <input> role=button actions=click,type,focus visible=true viewport=true hit=true occluded=false "Go"
[117] ref=e117 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Choose a language for shopping in Amazon United States. The current selection is English (EN)."
[123] ref=e123 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand to Change Language or Country"
[125] ref=e125 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Hello, sign in Account & Lists"
[131] ref=e131 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand Account and Lists"
[132] ref=e132 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Returns & Orders"
[137] ref=e137 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "0 items in cart"
[143] ref=e143 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Open All Categories Menu"
[151] ref=e151 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Today's Deals"
[155] ref=e155 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Prime Video"
[159] ref=e159 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Gift Cards"
[163] ref=e163 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Sell"
[167] ref=e167 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Customer Service"
[171] ref=e171 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Registry"
[173] ref=e173 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Click to call our Disability Customer Support line, or reach us directly at 1-888-283-1678"
[246] ref=e246 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Afaartcci Rechargeable Wireless Mouse, Silent Bluetooth Mouse (Black) | ergonomic design,Bluetooth 5.2 and 2.4GHz USB Receiver,Portable Computer Mouse for Laptops, iPads, MacBooks & Apple Devices"
[253] ref=e253 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "4.3 out of 5 stars, rating details"
[256] ref=e256 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "4,604 ratings"
[266] ref=e266 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "$5.99"
[325] ref=e325 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Logitech M185 Compact Ambidextrous Wireless Mouse with Rubber Grips - Blue | Ambidextrous mouse with 2.4 GHz USB-A Nano Receiver, Optical Tracking, 12-Months Battery Life, PC, Mac, Laptop compatible"
[332] ref=e332 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "4.5 out of 5 stars, rating details"
[335] ref=e335 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "44,444 ratings"
[348] ref=e348 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Safer chemicals +1 more"
[359] ref=e359 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "See options"
[368] ref=e368 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "(18 used & new offers)"
[384] ref=e384 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "View Sponsored information or leave ad feedback"
[408] ref=e408 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - INPHIC Wireless Mouse Rechargeable, Silent Click, [Battery Level Visible] | USB 2.4G Cordless Mouse for Laptop PC Computer Tablets, 6 Buttons, 2400DPI 4 Adjustment Levels, Black"
[415] ref=e415 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.3 out of 5 stars, rating details"
[418] ref=e418 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "4,068 ratings"
[425] ref=e425 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "$11.99 Typical price: $14.99"
[460] ref=e460 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "See options"
[476] ref=e476 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - TECKNET Wireless Mouse, BT 5.0/2.4G, Rechargeable 6-DPI Silent, Grey | Bluetooth 5.0/3.0 & USB A, 2-Device Easy Switch, Wide OS Compatible, 6 Buttons, 6-DPI up to 4800, Ergonomic for S to M Hands"
[488] ref=e488 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.6 out of 5 stars, rating details"
[491] ref=e491 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "13,615 ratings"
[498] ref=e498 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "$15.99 List: $16.99"
[529] ref=e529 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "Recycled materials +2 more"
[562] ref=e562 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Sponsored Ad - Ergonomic Wireless Trackball Mouse, Rechargeable Adjustable 0°/18° Angle | SABLUTE MAM1 Pro Thumb Control Mice, Quiet Click, 3 Multi-Device Bluetooth & USB Receiver for Office, Windows Mac-Gray Ball"
[569] ref=e569 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "4.5 out of 5 stars, rating details"
[572] ref=e572 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "481 ratings"
[578] ref=e578 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Limited time deal"
[586] ref=e586 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "$37.99 List: $47.99"
[617] ref=e617 <a> role=button actions=click visible=true viewport=false hit=false occluded=false "Carbon impact"
