=== SNAPSHOT ===
url: https://www.amazon.com/
title: Amazon.com. Spend less. Smile more.
snapshot_id: c90bf646-857f-45d6-ba94-556546326393
document_revision: 3923
nodes_returned: 2036
actions_returned: 0
stats: rawNodes=3923 returnedNodes=2036 textChars=36949 groups=53 droppedHidden=1250 droppedOffscreen=0 droppedDuplicate=0 truncated=False
roots: n1

=== ACTION INDEX ===
[4] ref=e4 <nav> role=navigation actions=click visible=true viewport=false hit=false occluded=false "Shortcuts menu"
[9] ref=e9 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "main content"
[15] ref=e15 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Search, alt, forward slash"
[24] ref=e24 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Cart, shift, alt, c"
[36] ref=e36 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Home, shift, alt, h"
[48] ref=e48 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Your orders, shift, alt, o"
[60] ref=e60 <button> role=button actions=click visible=true viewport=false hit=false occluded=false "Show/hide shortcuts, shift, alt, z"
[82] ref=e82 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Amazon"
[85] ref=e85 <a> role=button actions=click visible=true viewport=true hit=true occluded=false
[103] ref=e103 <input> role=searchbox actions=click,type,focus visible=true viewport=true hit=true occluded=false "Search Amazon"
[107] ref=e107 <input> role=button actions=click,type,focus visible=true viewport=true hit=true occluded=false "Go"
[111] ref=e111 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Choose a language for shopping in Amazon United States. The current selection is English (EN)."
[117] ref=e117 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand to Change Language or Country"
[119] ref=e119 <a> role=link actions=click visible=true viewport=true hit=true occluded=false
[125] ref=e125 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Expand Account and Lists"
[126] ref=e126 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "/gp/css/order-history?ref_=nav_orders_first"
[131] ref=e131 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "0 items in cart"
[137] ref=g137 <div> role=generic actions=scroll visible=true viewport=true hit=true occluded=false
[151] ref=e151 <a> role=link actions=click visible=true viewport=true hit=true occluded=false
[156] ref=e156 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "New to Amazon? Start here to create an account"
[160] ref=e160 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "Open All Categories Menu"
[168] ref=e168 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Today's Deals"
[172] ref=e172 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Prime Video"
[176] ref=e176 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Customer Service"
[180] ref=e180 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Gift Cards"
[184] ref=e184 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Sell"
[188] ref=e188 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Registry"
[190] ref=e190 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Click to call our Disability Customer Support line, or reach us directly at 1-888-283-1678"
[200] ref=e200 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "#"
[210] ref=e210 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Shop Back to School"
[214] ref=e214 <a> role=button actions=click visible=true viewport=true hit=true occluded=false "#"
[223] ref=e223 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Click here to go to amazon.de"
[231] ref=e231 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Shop Back to School"
[242] ref=e242 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Get your game on"
[256] ref=e256 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Jeans under $50"
[263] ref=e263 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Tops under $25"
[271] ref=e271 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Dresses under $30"
[278] ref=e278 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Shoes under $50"
[285] ref=e285 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Shop Fashion for less - See all deals"
[295] ref=e295 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Backpacks"
[302] ref=e302 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Electronics"
[310] ref=e310 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Stationery"
[317] ref=e317 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Fashion"
[324] ref=e324 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Must-have school supplies - Shop Back to School"
[334] ref=e334 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Kitchen & dining"
[341] ref=e341 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Home improvement"
[349] ref=e349 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Décor"
[356] ref=e356 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Bedding & bath"
[363] ref=e363 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "New home arrivals under $50 - Shop the latest from Home"
[372] ref=e372 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Cooker"
[380] ref=e380 <a> role=link actions=click visible=true viewport=false hit=false occluded=false "Coffee"
