=== SNAPSHOT ===
url: https://www.ebay.com/sch/i.html?_nkw=16GB%20RAM%20512GB%20SSD%20laptop&_sacat=0&_from=R40&rt=nc&_udlo=600&_udhi=900
title: 16GB Ram 512GB Ssd Laptop for sale | eBay
snapshot_id: ad5f493a-87cb-4219-b76f-f31f36c8c308
document_revision: 11905
nodes_returned: 5572
actions_returned: 0
stats: rawNodes=11905 returnedNodes=5572 textChars=213976 groups=271 droppedHidden=3951 droppedOffscreen=0 droppedDuplicate=0 truncated=True
roots: n1

=== ACTION INDEX ===
[7] ref=e7 <a> role=link actions=click visible=true viewport=true hit=false occluded=false "Skip to main content"
[14] ref=e14 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Sign in"
[18] ref=e18 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "register"
[21] ref=e21 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Deals"
[24] ref=e24 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Brand Outlet"
[27] ref=e27 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Help & Contact"
[32] ref=e32 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Sell"
[35] ref=e35 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Watchlist"
[38] ref=e38 <button> role=button actions=click visible=true viewport=true hit=false occluded=false "Expand Watch List"
[41] ref=e41 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "My eBay"
[44] ref=e44 <button> role=button actions=click visible=true viewport=true hit=false occluded=false "Expand My eBay"
[48] ref=e48 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Notifications"
[53] ref=e53 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Your shopping cart contains 0 items"
[54] ref=e54 <button> role=button actions=click visible=true viewport=true hit=false occluded=false "Expand Cart"
[58] ref=e58 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "eBay Home"
[62] ref=e62 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Shop by category"
[69] ref=e69 <input> role=combobox actions=click,type,focus,select visible=true viewport=true hit=true occluded=false "Search for anything"
[70] ref=e70 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Camera icon"
[71] ref=e71 <select> role=combobox actions=click,select visible=true viewport=true hit=true occluded=false "Select a category for search"
[73] ref=e73 <button> role=button actions=click visible=true viewport=true hit=true occluded=false "Search"
[76] ref=e76 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Advanced"
[84] ref=e84 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "laptop i7 16gb ram 1tb ssd"
[93] ref=e93 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "laptop 16gb ram 1tb ssd"
[100] ref=e100 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "laptop 16gb ram 512gb ssd i7"
[108] ref=e108 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "laptop 8gb ram 512gb ssd"
[115] ref=e115 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "laptop i7 32gb ram 512 ssd"
[136] ref=e136 <div> role=button actions=click visible=true viewport=true hit=true occluded=false "Category"
[141] ref=e141 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "All"
[146] ref=e146 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Computers/Tablets & Networking"
[150] ref=e150 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Laptops & Netbooks"
[160] ref=e160 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Apple Laptops"
[164] ref=e164 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Consumer Electronics"
[168] ref=e168 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "Business & Industrial"
[172] ref=e172 <a> role=link actions=click visible=true viewport=true hit=true occluded=false "eBay Motors"
