task_id,rubric_score,rubric_total_earned_points,rubric_total_max_points,rubric_is_success,outcome_success,status,source_report
4shared--c8c1ff11,0.36666666666666664,5.5,15.0,False,False,ok,batch_10.jsonl
Adidas--11857213,0.6428571428571429,9.0,14.0,False,False,ok,batch_10.jsonl
Adoptapet--2e4e21cf,0.7,14.0,20.0,False,False,ok,batch_10.jsonl
Adoptapet--75146b7b,0.1,1.0,10.0,False,False,ok,batch_10.jsonl
Adoptapet--84f806c7,0.6,6.0,10.0,False,False,ok,batch_10.jsonl
Airbnb--a13e4231,0.6666666666666666,18.0,27.0,False,False,ok,batch_10.jsonl
Akc--eb2db4b7,0.8,8.0,10.0,True,False,ok,batch_10.jsonl
Allrecipes--75a1b5dc,0.6,6.0,10.0,False,False,ok,batch_10.jsonl
Amazon--7211af65,0.4,4.0,10.0,False,False,ok,batch_10.jsonl
Americashealthrankings--d4fb78b7,1.0,12.0,12.0,True,True,ok,batch_10.jsonl
Amtrak--323bd85e,0.0,0.0,10.0,False,False,ok,remainder.jsonl
Apartments--c073ac1b,0.7307692307692307,9.5,13.0,False,False,ok,remainder.jsonl
Apartments--c0fa2c0e,1.0,12.0,12.0,True,True,ok,remainder.jsonl
Apple--8689af4d,1.0,15.0,15.0,True,True,ok,remainder.jsonl
Apple--d71be72a,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Arxiv--71f8de18,0.8125,13.0,16.0,True,False,ok,preflight.jsonl
Babycenter--7680a920,0.8461538461538461,11.0,13.0,True,False,ok,remainder.jsonl
Bandcamp--b962927d,0.0,0.0,10.0,False,False,ok,remainder.jsonl
Bbb--05483c50,0.8,8.0,10.0,True,False,ok,remainder.jsonl
Bbb--0b838cd5,0.21428571428571427,3.0,14.0,False,False,ok,remainder.jsonl
Bbb--3ec0f613,0.8333333333333334,5.0,6.0,True,True,ok,remainder.jsonl
Bbb--60cbbbd5,0.2,2.0,10.0,False,False,ok,preflight.jsonl
Bbb--9af05e39,1.0,20.0,20.0,True,True,ok,remainder.jsonl
Bestbuy--1df24ec8,0.4117647058823529,7.0,17.0,False,False,ok,remainder.jsonl
Bestbuy--7e1047f4,0.26666666666666666,4.0,15.0,False,False,ok,remainder.jsonl
Bestbuy--87f4c512,0.5,5.0,10.0,False,False,ok,remainder.jsonl
Ca--1aeca99e,0.625,10.0,16.0,False,False,ok,remainder.jsonl
Carmax--8fdec8ee,0.95,9.5,10.0,True,False,ok,remainder.jsonl
Carmax--92a3d423,0.9166666666666666,11.0,12.0,True,True,ok,remainder.jsonl
Cboe--01abae96,0.4,4.0,10.0,False,False,ok,remainder.jsonl
Chess--a48e2f1e,0.15,1.5,10.0,False,False,ok,remainder.jsonl
Cookpad--0632e496,0.8,8.0,10.0,True,True,ok,preflight.jsonl
Cookpad--a69d2934,0.5833333333333334,7.0,12.0,False,False,ok,remainder.jsonl
Coolmath4kids--1223b075,0.5,6.0,12.0,False,False,ok,remainder.jsonl
Coursera--ba2a469a,0.5833333333333334,7.0,12.0,False,False,ok,remainder.jsonl
Craigslist--330cd04c,0.8181818181818182,9.0,11.0,True,False,ok,remainder.jsonl
Craigslist--4c572a62,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Craigslist--bd1e3770,0.7,7.0,10.0,False,False,ok,remainder.jsonl
Discogs--fb7b4f78,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Disney--157f4a79,0.4166666666666667,5.0,12.0,False,False,ok,remainder.jsonl
Dmv--34992feb,0.875,14.0,16.0,True,True,ok,remainder.jsonl
Dmv--c8d7f2aa,0.7,7.0,10.0,False,True,ok,remainder.jsonl
Drugs--9586827a,0.7,7.0,10.0,False,True,ok,remainder.jsonl
Expedia--e43cbc8a,0.4090909090909091,9.0,22.0,False,False,ok,remainder.jsonl
Extraspace--2fc51dd3,0.6,6.0,10.0,False,False,ok,remainder.jsonl
Fedex--a8b9edd5,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Finance--a6f0434c,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Gamestop--79f0bd7d,0.9,9.0,10.0,True,True,ok,remainder.jsonl
Gamestop--b7258ee0,0.42857142857142855,6.0,14.0,False,False,ok,remainder.jsonl
Github--512fd4de,0.8571428571428571,12.0,14.0,True,False,ok,remainder.jsonl
Google--0e42c3a7,0.4166666666666667,5.0,12.0,False,False,ok,remainder.jsonl
Google--1fc28d91,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Google--c1d6ea6f,0.55,11.0,20.0,False,False,ok,remainder.jsonl
Google--e2466200,0.5,5.0,10.0,False,False,ok,remainder.jsonl
Gov--0170ca95,0.9166666666666666,11.0,12.0,True,True,ok,remainder.jsonl
Gov--6ca20f1d,0.7,7.0,10.0,False,False,ok,remainder.jsonl
Healthgrades--070c907d,0.9,9.0,10.0,True,False,ok,remainder.jsonl
Healthgrades--43a1ca25,0.5555555555555556,10.0,18.0,False,False,ok,remainder.jsonl
Hiring--d8e2a81f,0.6666666666666666,12.0,18.0,False,False,ok,remainder.jsonl
Justice--4f903626,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Justice--d9a86893,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Kaggle--1c3b747a,0.5294117647058824,9.0,17.0,False,False,ok,remainder.jsonl
Landwatch--255bf27c,0.23529411764705882,4.0,17.0,False,False,ok,remainder.jsonl
Landwatch--2dd41b1d,0.1,2.0,20.0,False,False,ok,remainder.jsonl
Landwatch--9ef1a897,0.3333333333333333,4.0,12.0,False,False,ok,remainder.jsonl
Macyswineshop--d1970c16,0.85,17.0,20.0,True,False,ok,remainder.jsonl
Mayoclinic--47b93b9e,0.0,0.0,10.0,False,False,ok,remainder.jsonl
Mayoclinic--65c4030f,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Nba--4c186c6e,0.9166666666666666,11.0,12.0,True,False,ok,remainder.jsonl
Nba--627f7a18,0.05,0.5,10.0,False,False,ok,remainder.jsonl
Nba--bbbc243b,0.7777777777777778,7.0,9.0,False,False,ok,remainder.jsonl
New--38203be6,0.4,4.0,10.0,False,False,ok,remainder.jsonl
New--4091bdd3,0.6,6.0,10.0,False,False,ok,remainder.jsonl
Nfl--3f312ae3,0.7,7.0,10.0,False,False,ok,remainder.jsonl
Nvidia--b4aa7315,0.0,0.0,10.0,False,False,ok,remainder.jsonl
Ohio--15be0597,0.6666666666666666,10.0,15.0,False,False,ok,remainder.jsonl
Petfinder--c94551d2,0.375,6.0,16.0,False,False,ok,remainder.jsonl
Petfinder--f707d765,0.4,6.0,15.0,False,False,ok,remainder.jsonl
Porsche--c3a33396,0.8,16.0,20.0,True,False,ok,remainder.jsonl
Qatarairways--005be9dd,1.0,10.0,10.0,True,False,ok,remainder.jsonl
Recreation--246d654f,0.8,12.0,15.0,True,False,ok,remainder.jsonl
Recreation--52efbab5,0.8333333333333334,10.0,12.0,True,False,ok,remainder.jsonl
Recreation--73d08420,0.7692307692307693,10.0,13.0,False,True,ok,remainder.jsonl
Recreation--c09721cc,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Redbull--78f39733,0.5,5.0,10.0,False,False,ok,remainder.jsonl
Reddit--3c1ffc3f,0.6666666666666666,10.0,15.0,False,False,ok,remainder.jsonl
Reddit--e7f6cca9,0.16666666666666666,2.0,12.0,False,False,ok,remainder.jsonl
Redfin--2d5a7f95,0.25,3.0,12.0,False,False,ok,remainder.jsonl
Ryanair--cf757a77,0.75,12.0,16.0,False,False,ok,remainder.jsonl
Seatgeek--5e1b8254,0.7,7.0,10.0,False,True,ok,remainder.jsonl
Sec--753f372c,0.35714285714285715,5.0,14.0,False,False,ok,remainder.jsonl
Smartasset--bc2ce7f2,0.08333333333333333,1.0,12.0,False,False,ok,remainder.jsonl
Spothero--dd44c665,0.55,11.0,20.0,False,False,ok,remainder.jsonl
Stanford--27fa3ac2,0.2,2.0,10.0,False,False,ok,remainder.jsonl
Store--62c8d970,0.0,0.0,17.0,False,False,ok,remainder.jsonl
Stubhub--9d09bc94,0.5833333333333334,7.0,12.0,False,False,ok,remainder.jsonl
Student--85b284c1,0.5,6.0,12.0,False,False,ok,remainder.jsonl
Target--b64f938a,0.6428571428571429,9.0,14.0,False,False,ok,remainder.jsonl
Thumbtack--2532fd40,0.4,4.0,10.0,False,False,ok,remainder.jsonl
Thumbtack--c2153fc0,0.8,8.0,10.0,True,False,ok,remainder.jsonl
Ups--3084bc22,1.0,14.0,14.0,True,True,ok,remainder.jsonl
Ups--92160852,0.5833333333333334,7.0,12.0,False,False,ok,remainder.jsonl
Ups--9b5dfe54,0.5,5.0,10.0,False,False,ok,remainder.jsonl
Us--34ccd15a,1.0,10.0,10.0,True,True,ok,remainder.jsonl
Uscis--7abdceee,0.5,5.0,10.0,False,False,ok,remainder.jsonl
Usps--ce616721,0.9285714285714286,13.0,14.0,True,False,ok,remainder.jsonl
